Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
pvez_lb_personal,You have broken the law. Other players could see your position on the map. Maybe someone is already trying to hunt you down.,You have broken the law. Other players could see your position on the map. Maybe someone is already trying to hunt you down.,Poruï¿½ï¿½ili jste zï¿½ï¿½kon. Ostatnï¿½ï¿½ hrï¿½ï¿½ï¿½ï¿½i mohli vidï¿½ï¿½t vaï¿½ï¿½i polohu na mapï¿½ï¿½. Moï¿½ï¿½nï¿½ï¿½ se,"Du hast das Gesetz gebrochen. Andere Spieler kï¿½ï¿½nnten Ihren Standort auf der Karte sehen. Vielleicht versucht schon jemand, dich zu verfol","ýýýý ýýýýýýýýýýýýýýýý ýýýýýýýýýý. ýýýýýýýýýýýý ýýýýýýýýýýýý ýýýýýýýýýý ýýýýýýýýýýýýýýýýýý ýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýýýýýýýý ýýýý ýýýýýýýýýý. ýýýýýýýýýýýýýýýý, ýýýýýý-ýýýý ýýýýýý ýýýýýýýýýýýýýýýý ýýýýýý ýýýýýýýýýýýýýýýýýý.",Zï¿½ï¿½amaï¿½ï¿½eï¿½ï¿½ prawo. Inni gracze mogï¿½ï¿½ zobaczyï¿½ï¿½ twojï¿½ï¿½ pozycjï¿½ï¿½ na mapie. Moï¿½ï¿½e ktoï¿,Megszegte a tï¿½ï¿½rvï¿½ï¿½nyt. Mï¿½ï¿½s jï¿½ï¿½tï¿½ï¿½kosok lï¿½ï¿½thatjï¿½ï¿½k a helyzetï¿½ï¿½t a tï¿½ï¿½rkï¿½ï¿½pen. Talï¿½ï,Hai infranto la legge. Gli altri giocatori possono vedere la tua posizione sulla mappa. Forse qualcuno sta giï¿½ï¿½ cercando di rintraccia,Rompiste la ley. Otros jugadores pueden ver tu posiciï¿½ï¿½n en el mapa. Tal vez alguien ya estï¿½ï¿½ tratando de ras,Vous avez enfreint la loi. Les autres joueurs peuvent voir votre position sur la carte. Peut-ï¿½ï¿½tre que quelqu'un essaie dï¿½ï¿½jï¿½ï¿½ de ,ýýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý,Vocï¿½ï¿½ violou a lei. Outros jogadores podem ver sua posiï¿½ï¿½ï¿½ï¿½o no mapa. Talvez alguï¿½ï¿½m jï¿½ï¿½ esteja tent,ýýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý
pvez_lb_serverwide1,killed,killed,zabil,getï¿½ï¿,ýýýýýýýý,zabiï¿,megï¿½ï¿,uccise,matï¿½ï,a tuï¿,ýýýýýýýýý,ýýýýýýýýý,mortos,ýýýýýýýýý
pvez_lb_serverwide2,. Weapon:,. Weapon:,. Zbraï¿½,. Waffe:,. ï¿½ï¿½ï¿½ï¿½ï,. Broï¿½,. Fegyver:,. Arma:,. Arma:,. Arme:,ýýýýýýýýýýýý,.ï¿½ï¿½ï¿½,. Arma:,ýýýýýýýýýýýý
pvez_lb_map_label,Murderer,Murderer,Vrah,Mï¿½ï¿½,ýýýýýýýýýýýý,Morderca,Gyilkos,Assassino,Asesino,Meurtrier,ýýýýýý,ýýýýýýýýý,Assassino,ýýýýýý
pvez_player_map_label,You're here,You're here,Jsi tady,Du bist hier,ýýýý ýýýýýýýýýý,Jesteï¿½ï¿½ t,ýýn itt van,Tu sei qui,Estï¿½ï¿½s a,Tu es lï¿,ýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýýýýýýýýýýý,Vocï¿½ï¿½ estï¿½,ýýýýýýýýýýýýýýýýýý
pvez_bare_hands,bare hands,bare hands,holï¿½ï¿½ma ru,mit bloï¿½ï¿½en Hï¿,ýýýýýýýýýýýý ýýýýýýýýýýýý,goï¿½ï¿½ymi rï¿,meztelen kezekkel,a mani nude,con las manos desnudas,ýý mains nues,ýýýýýýýýýýýý,ýýýýýýýýý,com as mï¿½ï,ýýýýýýýýýýýý
pvez_aui_desc_mode,"The mode:
* PVP zones: the zones are PvP areas, the rest of the map is PvE.
* PVE zones: the zones are PvE safe zones, the rest of the map is PvP area.
* PVE: the whole map is PvE area, PvP is not allowed at all, all zones are disabled.
* PVP: just like the vanilla game, PvP works anywwhere, but you can use the zones to show your players where PvP is legal.","The mode:
* PVP zones: the zones are PvP areas, the rest of the map is PvE.
* PVE zones: the zones are PvE safe zones, the rest of the map is PvP area.
* PVE: the whole map is PvE area, PvP is not allowed at all, all zones are disabled.
* PVP: just like the vanilla game, PvP works anywwhere, but you can use the zones to show your players where PvP is legal.","The mode:
* PVP zones: the zones are PvP areas, the rest of the map is PvE.
* PVE zones: the zones are PvE safe zones, the rest of the map is PvP area.
* PVE: the whole map is PvE area, PvP is not allowed at all, all zones are disabled.
* PVP: just like the vanilla game, PvP works anywwhere, but you can use the zones to show your players where PvP is legal.","The mode:
* PVP zones: the zones are PvP areas, the rest of the map is PvE.
* PVE zones: the zones are PvE safe zones, the rest of the map is PvP area.
* PVE: the whole map is PvE area, PvP is not allowed at all, all zones are disabled.
* PVP: just like the vanilla game, PvP works anywwhere, but you can use the zones to show your players where PvP is legal.","ýýýýýýýýýý ýýýýýýýýýýýý ýýýýýý:
* PVP zones: ýýýýýýýý - ýýýýýý PvP ýýýýýýýýýýýýýýýýýýýý, ýýýýýýýýýýýýýýýýýý ýýýýýýýýýý - PvE.
* PVE zones: ýýýýýýýý - PvE ýýýýýýýýýýýýýýýýýýýý, ýýýýýýýýýýýýýýýýýý ýýýýýýýýýý - PvP.
* PVE: ýýýýýý ýýýýýýýýýý - PvE ýýýýýýýýýýýýýýýýýýýý, PvP ýýýýýýýýýýýýýýýýýý ýýýýýýýýýý, ýýýýýý ýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýýýýýý.
* PVP: ýýýýýý ýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýý ýýýýýýýý, PvP ýýýýýýýýýýýýýýýý ýýýýýýýýýý, ýýýý ýýýý ýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýý ýýýýýýýý, ýýýýýýýýýý ýýýýýýýýýýýý ýýýýýýýýýýýý, ýýýýýý ýýýýýýýýýý ýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýý.","The mode:
* PVP zones: the zones are PvP areas, the rest of the map is PvE.
* PVE zones: the zones are PvE safe zones, the rest of the map is PvP area.
* PVE: the whole map is PvE area, PvP is not allowed at all, all zones are disabled.
* PVP: just like the vanilla game, PvP works anywwhere, but you can use the zones to show your players where PvP is legal.","The mode:
* PVP zones: the zones are PvP areas, the rest of the map is PvE.
* PVE zones: the zones are PvE safe zones, the rest of the map is PvP area.
* PVE: the whole map is PvE area, PvP is not allowed at all, all zones are disabled.
* PVP: just like the vanilla game, PvP works anywwhere, but you can use the zones to show your players where PvP is legal.","The mode:
* PVP zones: the zones are PvP areas, the rest of the map is PvE.
* PVE zones: the zones are PvE safe zones, the rest of the map is PvP area.
* PVE: the whole map is PvE area, PvP is not allowed at all, all zones are disabled.
* PVP: just like the vanilla game, PvP works anywwhere, but you can use the zones to show your players where PvP is legal.","The mode:
* PVP zones: the zones are PvP areas, the rest of the map is PvE.
* PVE zones: the zones are PvE safe zones, the rest of the map is PvP area.
* PVE: the whole map is PvE area, PvP is not allowed at all, all zones are disabled.
* PVP: just like the vanilla game, PvP works anywwhere, but you can use the zones to show your players where PvP is legal.","The mode:
* PVP zones: the zones are PvP areas, the rest of the map is PvE.
* PVE zones: the zones are PvE safe zones, the rest of the map is PvP area.
* PVE: the whole map is PvE area, PvP is not allowed at all, all zones are disabled.
* PVP: just like the vanilla game, PvP works anywwhere, but you can use the zones to show your players where PvP is legal.","The mode:
* PVP zones: the zones are PvP areas, the rest of the map is PvE.
* PVE zones: the zones are PvE safe zones, the rest of the map is PvP area.
* PVE: the whole map is PvE area, PvP is not allowed at all, all zones are disabled.
* PVP: just like the vanilla game, PvP works anywwhere, but you can use the zones to show your players where PvP is legal.","The mode:
* PVP zones: the zones are PvP areas, the rest of the map is PvE.
* PVE zones: the zones are PvE safe zones, the rest of the map is PvP area.
* PVE: the whole map is PvE area, PvP is not allowed at all, all zones are disabled.
* PVP: just like the vanilla game, PvP works anywwhere, but you can use the zones to show your players where PvP is legal.","The mode:
* PVP zones: the zones are PvP areas, the rest of the map is PvE.
* PVE zones: the zones are PvE safe zones, the rest of the map is PvP area.
* PVE: the whole map is PvE area, PvP is not allowed at all, all zones are disabled.
* PVP: just like the vanilla game, PvP works anywwhere, but you can use the zones to show your players where PvP is legal.","The mode:
* PVP zones: the zones are PvP areas, the rest of the map is PvE.
* PVE zones: the zones are PvE safe zones, the rest of the map is PvP area.
* PVE: the whole map is PvE area, PvP is not allowed at all, all zones are disabled.
* PVP: just like the vanilla game, PvP works anywwhere, but you can use the zones to show your players where PvP is legal."
pvez_aui_desc_updatefreq,"Update frequency.
The period in seconds that determines how often the mod will check players current positions to update their PvP status (is the player in a zone or not).","Update frequency.
The period in seconds that determines how often the mod will check players current positions to update their PvP status (is the player in a zone or not).","Update frequency.
The period in seconds that determines how often the mod will check players current positions to update their PvP status (is the player in a zone or not).","Update frequency.
The period in seconds that determines how often the mod will check players current positions to update their PvP status (is the player in a zone or not).","ýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýý.
ýýýýýýýýýýýý ýý ýýýýýýýýýýýýýýýý, ýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýý ýýýýýý ýýýýýýýýýý ýýýýýý ýýýýýýýýýý ýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýý ýýýýýýýýýýýýýý, ýýýýýýýýýý ýýýýýýýýýýýýýýýý ýýýý PvP ýýýýýýýýýýýý (ýýýýýýýýýýýýýýýýýý ýýýý ýýýýýýýýýý ýý ýýýýýýýýýý-ýýýýýýýý ýýýýýýýý ýýýýýý ýýýýýý).","Update frequency.
The period in seconds that determines how often the mod will check players current positions to update their PvP status (is the player in a zone or not).","Update frequency.
The period in seconds that determines how often the mod will check players current positions to update their PvP status (is the player in a zone or not).","Update frequency.
The period in seconds that determines how often the mod will check players current positions to update their PvP status (is the player in a zone or not).","Update frequency.
The period in seconds that determines how often the mod will check players current positions to update their PvP status (is the player in a zone or not).","Update frequency.
The period in seconds that determines how often the mod will check players current positions to update their PvP status (is the player in a zone or not).","Update frequency.
The period in seconds that determines how often the mod will check players current positions to update their PvP status (is the player in a zone or not).","Update frequency.
The period in seconds that determines how often the mod will check players current positions to update their PvP status (is the player in a zone or not).","Update frequency.
The period in seconds that determines how often the mod will check players current positions to update their PvP status (is the player in a zone or not).","Update frequency.
The period in seconds that determines how often the mod will check players current positions to update their PvP status (is the player in a zone or not)."
pvez_aui_desc_shownotifs,Show notifications to players when they enter or leave a zone.,Show notifications to players when they enter or leave a zone.,Show notifications to players when they enter or leave a zone.,Show notifications to players when they enter or leave a zone.,"ýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýý, ýýýýýýýýýý ýýýýýý ýýýýýýýýýýýý ýýýýýý ýýýýýýýýýýýýýý ýýýý ýýýýýýýý.",Show notifications to players when they enter or leave a zone.,Show notifications to players when they enter or leave a zone.,Show notifications to players when they enter or leave a zone.,Show notifications to players when they enter or leave a zone.,Show notifications to players when they enter or leave a zone.,Show notifications to players when they enter or leave a zone.,Show notifications to players when they enter or leave a zone.,Show notifications to players when they enter or leave a zone.,Show notifications to players when they enter or leave a zone.
pvez_aui_desc_useuinotifs,"Use GUI notifications. When this is OFF, players will receive chat messages on entering and leaving zones.","Use GUI notifications. When this is OFF, players will receive chat messages on entering and leaving zones.","Use GUI notifications. When this is OFF, players will receive chat messages on entering and leaving zones.","Use GUI notifications. When this is OFF, players will receive chat messages on entering and leaving zones.","ýýýýýýýýýýýýýýýýýýýýýýýý GUI ýýýýýýýýýýýýýýýýýýýýýý. ýýýýýýýýýý ýýýýýýýý, ýýýýýýýýýýýý ýýýýýýýýýý ýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýý ýý ýýýýýýýý ýýýýýýýýýýýýýýýýýý ýý ýýýýýýýý.","Use GUI notifications. When this is OFF, players will receive chat messages on entering and leaving zones.","Use GUI notifications. When this is OFF, players will receive chat messages on entering and leaving zones.","Use GUI notifications. When this is OFF, players will receive chat messages on entering and leaving zones.","Use GUI notifications. When this is OFF, players will receive chat messages on entering and leaving zones.","Use GUI notifications. When this is OFF, players will receive chat messages on entering and leaving zones.","Use GUI notifications. When this is OFF, players will receive chat messages on entering and leaving zones.","Use GUI notifications. When this is OFF, players will receive chat messages on entering and leaving zones.","Use GUI notifications. When this is OFF, players will receive chat messages on entering and leaving zones.","Use GUI notifications. When this is OFF, players will receive chat messages on entering and leaving zones."
pvez_aui_desc_zonenameinnotifs,Show the zone name in notifications.,Show the zone name in notifications.,Show the zone name in notifications.,Show the zone name in notifications.,ýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýý ýýýýýýýý ýý ýýýýýýýýýýýýýýýýýýýýýýýý.,Show the zone name in notifications.,Show the zone name in notifications.,Show the zone name in notifications.,Show the zone name in notifications.,Show the zone name in notifications.,Show the zone name in notifications.,Show the zone name in notifications.,Show the zone name in notifications.,Show the zone name in notifications.
pvez_aui_desc_exitdelay,"Countdown in seconds before leaving a zone. When player leaves a zone, their status will be changed only after the countdown is over.","Countdown in seconds before leaving a zone. When player leaves a zone, their status will be changed only after the countdown is over.","Countdown in seconds before leaving a zone. When player leaves a zone, their status will be changed only after the countdown is over.","Countdown in seconds before leaving a zone. When player leaves a zone, their status will be changed only after the countdown is over.","ýýýýýýýýýýýýýýýý ýýýýýýýýýýýý ýý ýýýýýýýýýýýýýýýý ýýýý ýýýýýýýýýýýý ýýýý ýýýýýýýý. ýýýýýýýýýý ýýýýýýýýýý ýýýýýýýýýýýýýýýý ýýýýýýýý, ýýýýýý ýýýýýýýýýýýý ýýýýýýýýýýýýýýýý ýýýýýýýýýýýý ýýýýýýýýýý ýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýý.","Countdown in seconds before leaving a zone. When player leaves a zone, their status will be changed only after the countdown is over.","Countdown in seconds before leaving a zone. When player leaves a zone, their status will be changed only after the countdown is over.","Countdown in seconds before leaving a zone. When player leaves a zone, their status will be changed only after the countdown is over.","Countdown in seconds before leaving a zone. When player leaves a zone, their status will be changed only after the countdown is over.","Countdown in seconds before leaving a zone. When player leaves a zone, their status will be changed only after the countdown is over.","Countdown in seconds before leaving a zone. When player leaves a zone, their status will be changed only after the countdown is over.","Countdown in seconds before leaving a zone. When player leaves a zone, their status will be changed only after the countdown is over.","Countdown in seconds before leaving a zone. When player leaves a zone, their status will be changed only after the countdown is over.","Countdown in seconds before leaving a zone. When player leaves a zone, their status will be changed only after the countdown is over."
